latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.4282,4.96963,301.78,0.42,0.45,2026-09-18,120,N,VIIRS,n,2.0NRT,288.02,0.76,N
43.4307,4.89451,298.83,0.43,0.46,2026-09-18,120,N,VIIRS,n,2.0NRT,286.62,0.88,N
43.43493,4.89525,309.44,0.43,0.46,2026-09-18,120,N,VIIRS,n,2.0NRT,286.74,0.88,N
43.4354,4.8899,302.91,0.43,0.46,2026-09-18,120,N,VIIRS,n,2.0NRT,287.91,0.88,N
43.43963,4.89063,315.02,0.43,0.46,2026-09-18,120,N,VIIRS,n,2.0NRT,287.34,2.1,N
43.44337,4.89671,329.63,0.43,0.46,2026-09-18,120,N,VIIRS,n,2.0NRT,287.56,2.1,N
43.44759,4.89742,307.2,0.43,0.46,2026-09-18,120,N,VIIRS,n,2.0NRT,286.89,1.09,N
43.9969,4.84912,299.69,0.44,0.46,2026-09-18,120,N,VIIRS,n,2.0NRT,284.85,1.01,N
35.56651,-0.94065,301.55,0.36,0.57,2026-09-18,122,N,VIIRS,n,2.0NRT,287.65,0.96,N
35.70831,4.47817,308.74,0.55,0.43,2026-09-18,122,N,VIIRS,n,2.0NRT,293.3,1.08,N
35.80453,-0.25543,295.1,0.33,0.55,2026-09-18,122,N,VIIRS,n,2.0NRT,257.75,0.87,N
35.8048,-0.25907,324.1,0.33,0.55,2026-09-18,122,N,VIIRS,n,2.0NRT,260.36,0.87,N
35.8097,-0.25509,326.18,0.33,0.55,2026-09-18,122,N,VIIRS,n,2.0NRT,266.13,0.64,N
35.80997,-0.25886,304.96,0.33,0.55,2026-09-18,122,N,VIIRS,n,2.0NRT,265.33,0.64,N
35.81023,-0.26253,296.04,0.33,0.55,2026-09-18,122,N,VIIRS,n,2.0NRT,263.31,1.69,N
35.87754,4.44783,307.18,0.55,0.43,2026-09-18,122,N,VIIRS,n,2.0NRT,291.76,1.64,N
36.96468,-1.90508,303.05,0.42,0.61,2026-09-18,122,N,VIIRS,n,2.0NRT,287.79,0.94,N
38.37492,-0.54471,302.75,0.36,0.57,2026-09-18,122,N,VIIRS,n,2.0NRT,286.87,0.49,N
